,HDI rank,Country,2013 HDI Value,2013 Life Expectancy at Birth (years),2013 Life Expectancy at Birth (years) Note,2012 Mean years of schooling,2012 Mean years of schooling Note,2012 Expected years of schooling,2012 Expected years of schooling Note,2013 Gross national income (GNI) per capita (2011 PPP $),2013 Gross national income (GNI) per capita (2011 PPP $) Note,2012 Human Development Index (HDI) value,2012 Human Development Index (HDI) value Note,2012-2013 Change in rank,Agriculture,Commodity Assistance,Economic Growth,Education,Governance,Health and Population,Humanitarian,Infrastructure,Other,Region
89,90.0,Tunisia,0.721,75.9,,6.5,,14.6,,10440.0,,0.719,,0.0,,,3941007.0,,16650754.0,24631.0,,,780950.0,Middle East and North Africa
90,91.0,China,0.719,75.3,,7.5,,12.9,,11477.0,,0.715,,2.0,,,,,,,,,,
91,91.0,Saint Vincent and the Grenadines,0.719,72.5,,8.6,p,13.3,,10339.0,,0.717,,0.0,,,,,,,,,,
92,93.0,Algeria,0.717,71.0,,7.6,,14.0,,12555.0,,0.715,,0.0,,,,,93393.0,,9266192.0,492625.0,,Middle East and North Africa
93,93.0,Dominica,0.717,77.7,d,7.7,p,12.7,n,9235.0,,0.716,,-1.0,,,,,,,,,,
94,95.0,Albania,0.716,77.4,,9.3,,10.8,,9225.0,,0.714,,2.0,,,2677744.0,487442.0,11305099.0,460688.0,,,4638485.0,Europe and Eurasia
95,96.0,Jamaica,0.715,73.5,,9.6,,12.5,,8170.0,,0.715,,-3.0,3835.0,,2747885.0,3270382.0,4905118.0,3217884.0,1651407.0,,6401659.0,Western Hemisphere
96,97.0,Saint Lucia,0.714,74.8,,8.3,p,12.8,,9251.0,,0.715,,-4.0,,,,,,,,,,
97,98.0,Colombia,0.711,74.0,,7.1,,13.2,,11527.0,,0.708,,0.0,75815087.0,,2675766.0,2382673.0,209490156.0,191800.0,25007309.0,2358212.0,39355852.0,Western Hemisphere
98,98.0,Ecuador,0.711,76.5,,7.6,,12.3,n,9998.0,,0.708,,0.0,363763.0,,24631.0,1625180.0,2499225.0,717441.0,12836951.0,,9056589.0,Western Hemisphere
99,100.0,Suriname,0.705,71.0,,7.7,,12.0,,15113.0,,0.702,,1.0,,,,,,,,,,
100,100.0,Tonga,0.705,72.7,,9.4,b,14.7,,5316.0,,0.704,,0.0,,,,854005.0,,,492625.0,,,East Asia and Oceania
101,102.0,Dominican Republic,0.7,73.4,,7.5,,12.3,l,10844.0,,0.698,,0.0,565618.0,274057.0,1889875.0,4141852.0,2075766.0,16040310.0,1524176.0,353193.0,12838879.0,Western Hemisphere
102,103.0,Maldives,0.698,77.9,,5.8,b,12.7,,10074.0,,0.695,,0.0,,,,,1674927.0,,,,19704.0,South and Central Asia
103,103.0,Mongolia,0.698,67.5,,8.3,,15.0,,8466.0,,0.692,,3.0,,,1821293.0,2121677.0,2397301.0,367235.0,261046.0,4629.0,3549149.0,East Asia and Oceania
104,103.0,Turkmenistan,0.698,65.5,,9.9,s,12.6,p,11533.0,,0.693,,1.0,,,1930881.0,49262.0,1869060.0,754.0,,218699.0,1058147.0,South and Central Asia
105,106.0,Samoa,0.694,73.2,,10.3,,12.9,t,4708.0,,0.693,,-2.0,,,,813453.0,,,,,,East Asia and Oceania
106,107.0,"Palestine, State of",0.686,73.2,,8.9,o,13.2,,5168.0,"h,u",0.683,,0.0,,,,,,,,,,
107,108.0,Indonesia,0.684,70.8,,7.5,,12.7,,8970.0,,0.681,,0.0,3688884.0,,2838945.0,35561548.0,31922328.0,43870317.0,10630755.0,559847.0,44503554.0,East Asia and Oceania
108,109.0,Botswana,0.683,64.4,v,8.8,,11.7,,14792.0,,0.681,,-1.0,,,,3311.0,198873.0,46614274.0,24631.0,,291122.0,Sub-Saharan Africa
109,110.0,Egypt,0.682,71.2,,6.4,,13.0,,10400.0,,0.681,,-2.0,758845.0,,73049852.0,18079456.0,31331518.0,14941679.0,30201417.0,51802.0,16860807.0,Middle East and North Africa
110,111.0,Paraguay,0.676,72.3,,7.7,,11.9,,7580.0,,0.67,,0.0,498828.0,,3122504.0,17089.0,8618314.0,1140452.0,504425.0,,4532143.0,Western Hemisphere
111,112.0,Gabon,0.674,63.5,,7.4,,12.3,,16977.0,,0.67,,-1.0,,,,,46798.0,1291075.0,,,,Sub-Saharan Africa
112,113.0,Bolivia (Plurinational State of),0.667,67.3,,9.2,,13.2,,5552.0,,0.663,,0.0,,,,,,,,,,
113,114.0,Moldova (Republic of),0.663,68.9,,9.8,,11.8,,5041.0,,0.657,,2.0,,,,,,,,,,
114,115.0,El Salvador,0.662,72.6,,6.5,,12.1,,7240.0,,0.66,,0.0,413594.0,134166.0,5868701.0,11349693.0,25077908.0,75618.0,12851908.0,,27537004.0,Western Hemisphere
115,116.0,Uzbekistan,0.661,68.2,,10.0,r,11.5,,5227.0,,0.657,,0.0,,147787.0,2973608.0,49262.0,2871251.0,2931227.0,,,1237397.0,South and Central Asia
116,117.0,Philippines,0.66,68.7,,8.9,b,11.3,,6381.0,,0.656,,1.0,6895.0,25633353.0,11187772.0,33546502.0,22769733.0,36691485.0,83639042.0,8506752.0,40777800.0,East Asia and Oceania
117,118.0,South Africa,0.658,56.9,,9.9,,13.1,p,11788.0,,0.654,,1.0,530393.0,360612.0,8165141.0,6210910.0,8569242.0,444800558.0,3219234.0,,23973034.0,Sub-Saharan Africa
118,118.0,Syrian Arab Republic,0.658,74.6,,6.6,,12.0,,5771.0,"h,u",0.662,,-4.0,,,,,,,,,,
119,120.0,Iraq,0.642,69.4,,5.6,,10.1,,14007.0,,0.641,,0.0,,,24249053.0,,80366262.0,1084874.0,248450313.0,,25532229.0,Middle East and North Africa
120,121.0,Guyana,0.638,66.3,,8.5,,10.7,,6341.0,,0.635,,0.0,,,,835666.0,492625.0,5170371.0,,,525000.0,Western Hemisphere
121,121.0,Viet Nam,0.638,75.9,,5.5,,11.9,n,4892.0,,0.635,,0.0,,,,,,,,,,
122,123.0,Cape Verde,0.636,75.1,,3.5,p,13.2,,6365.0,,0.635,,-2.0,,,,,,,,,,
123,124.0,Micronesia (Federated States of),0.63,69.0,,8.8,s,11.4,p,3662.0,,0.629,,0.0,,,,,,,,,,
124,125.0,Guatemala,0.628,72.1,,5.6,,10.7,,6866.0,,0.626,,0.0,21087514.0,3706499.0,2880678.0,9361508.0,18372121.0,52327999.0,147787.0,,20751743.0,Western Hemisphere
125,125.0,Kyrgyzstan,0.628,67.5,,9.3,,12.5,,3021.0,,0.621,,1.0,7100885.0,147787.0,3819730.0,4886231.0,23735012.0,16178888.0,,1807936.0,6134472.0,South and Central Asia
126,127.0,Namibia,0.624,64.5,,6.2,,11.3,,9185.0,,0.62,,0.0,787319.0,,2158296.0,4371106.0,656126.0,46655967.0,492625.0,,4816531.0,Sub-Saharan Africa
127,128.0,Timor-Leste,0.62,67.5,,4.4,w,11.7,,9674.0,,0.616,,1.0,1145247.0,13852563.0,492625.0,1937800.0,8647922.0,2726149.0,2086898.0,,5619776.0,East Asia and Oceania
128,129.0,Honduras,0.617,73.8,,5.5,,11.6,,4138.0,,0.616,,0.0,4893042.0,147787.0,9925090.0,9296792.0,32516816.0,4810184.0,1237450.0,,18958644.0,Western Hemisphere
129,129.0,Morocco,0.617,70.9,,4.4,,11.6,,6905.0,,0.614,,2.0,2201.0,,1089361.0,6678829.0,8317169.0,290287.0,,258295.0,9550734.0,Middle East and North Africa
130,131.0,Vanuatu,0.616,71.6,,9.0,o,10.6,,2652.0,,0.617,,-3.0,,,,1322713.0,3083.0,866353.0,492625.0,,90593.0,East Asia and Oceania
131,132.0,Nicaragua,0.614,74.8,,5.8,,10.5,,4266.0,,0.611,,0.0,,20296187.0,1378635.0,3169101.0,7413211.0,14565444.0,2321.0,,5296307.0,Western Hemisphere
132,133.0,Kiribati,0.607,68.9,,7.8,p,12.3,,2645.0,,0.606,,0.0,,,,,,,,,,
133,133.0,Tajikistan,0.607,67.2,,9.9,,11.2,,2424.0,,0.603,,1.0,8729334.0,,1711215.0,3492595.0,13298849.0,7753380.0,98525.0,936541.0,2378702.0,South and Central Asia
134,135.0,India,0.586,66.4,,4.4,,11.7,,5150.0,,0.583,,0.0,5270975.0,,315299.0,5245070.0,2235716.0,73910606.0,7341207.0,5639771.0,29280533.0,South and Central Asia
135,136.0,Bhutan,0.584,68.3,,2.3,w,12.4,,6775.0,,0.58,,0.0,,,,,,,246312.0,,,South and Central Asia
136,136.0,Cambodia,0.584,71.9,,5.8,,10.9,,2805.0,,0.579,,1.0,10662435.0,,1362600.0,944389.0,14921264.0,54569888.0,614103.0,,23919965.0,East Asia and Oceania
137,138.0,Ghana,0.573,61.1,,7.0,,11.5,,3532.0,,0.571,,0.0,63524558.0,,3149191.0,5117372.0,4646842.0,49429977.0,24631.0,4509363.0,45585376.0,Sub-Saharan Africa
138,139.0,Lao People's Democratic Republic,0.569,68.3,,4.6,,10.2,,4351.0,,0.565,,0.0,,,,,,,,,,
139,140.0,Congo,0.564,58.8,,6.1,,11.1,,4909.0,,0.561,,0.0,,,,,,,,,,
140,141.0,Zambia,0.561,58.1,,6.5,,13.5,,2898.0,,0.554,,2.0,12882473.0,,893723.0,14794769.0,2496770.0,569429753.0,3098610.0,32020.0,59036154.0,Sub-Saharan Africa
141,142.0,Bangladesh,0.558,70.7,,5.1,,10.0,,2713.0,,0.554,,1.0,31475585.0,27243662.0,1010182.0,4301134.0,12668073.0,101870398.0,5599341.0,2101.0,34606563.0,South and Central Asia
142,142.0,Sao Tome and Principe,0.558,66.3,,4.7,w,11.3,,3111.0,,0.556,,-1.0,,,,,34483.0,149274.0,,,465007.0,Sub-Saharan Africa
143,144.0,Equatorial Guinea,0.556,53.1,,5.4,p,8.5,,21972.0,,0.556,,-3.0,,,,,,,,,,
144,145.0,Nepal,0.54,68.4,,3.2,,12.4,,2194.0,,0.537,,0.0,4620804.0,,4229.0,15129.0,7397806.0,34386515.0,11444241.0,,22590386.0,South and Central Asia
145,146.0,Pakistan,0.537,66.6,,4.7,,7.7,,4652.0,,0.535,,0.0,15101355.0,112334.0,53178722.0,68471775.0,115272476.0,47424054.0,119610169.0,227126922.0,75401184.0,South and Central Asia
146,147.0,Kenya,0.535,61.7,,6.3,,11.0,,2158.0,,0.531,,0.0,51589066.0,,16788365.0,27318422.0,25627843.0,470440915.0,211817345.0,788200.0,35935151.0,Sub-Saharan Africa
147,148.0,Swaziland,0.53,49.0,,7.1,,11.3,,5536.0,,0.529,,0.0,,,,1135029.0,,42897619.0,1527744.0,,564211.0,Sub-Saharan Africa
148,149.0,Angola,0.526,51.9,,4.7,w,11.4,,6323.0,,0.524,,0.0,,,714002.0,24631.0,1506298.0,34837724.0,5399578.0,,5620055.0,Sub-Saharan Africa
149,150.0,Myanmar,0.524,65.2,,4.0,,8.6,,3998.0,h,0.52,,0.0,,,,,,,,,,
150,151.0,Rwanda,0.506,64.1,,3.3,,13.2,,1403.0,,0.502,,0.0,25720968.0,,6881956.0,10213843.0,3315321.0,96637248.0,14722638.0,4926.0,17913120.0,Sub-Saharan Africa
151,152.0,Cameroon,0.504,55.1,,5.9,,10.4,,2557.0,,0.501,,0.0,,147787.0,,1741864.0,917614.0,29481754.0,24645836.0,,1216457.0,Sub-Saharan Africa
152,152.0,Nigeria,0.504,52.5,,5.2,w,9.0,,5353.0,,0.5,,1.0,17402845.0,,5199626.0,10754021.0,23139120.0,464010951.0,11967997.0,9994393.0,30275760.0,Sub-Saharan Africa
153,154.0,Yemen,0.5,63.1,,2.5,,9.2,,3945.0,,0.499,,0.0,8532912.0,216198.0,1531386.0,14686236.0,28889164.0,11278842.0,107568297.0,,9920173.0,Middle East and North Africa
154,155.0,Madagascar,0.498,64.7,,5.2,p,10.3,,1333.0,,0.496,,0.0,68885.0,12176936.0,245098.0,1050078.0,704652.0,39696740.0,606771.0,,4567323.0,Sub-Saharan Africa
155,156.0,Zimbabwe,0.492,59.9,,7.2,,9.3,,1307.0,,0.484,,4.0,4700604.0,19105159.0,2142891.0,,15042639.0,97903860.0,15250345.0,,13066498.0,Sub-Saharan Africa
156,157.0,Papua New Guinea,0.491,62.4,,3.9,,8.9,p,2453.0,,0.49,,-1.0,,,,,492625.0,4823218.0,1448319.0,,93357.0,East Asia and Oceania
157,157.0,Solomon Islands,0.491,67.7,,4.5,p,9.2,,1385.0,,0.489,,0.0,,,,,492625.0,,738937.0,,,East Asia and Oceania
158,159.0,Comoros,0.488,60.9,,2.8,,12.8,,1505.0,,0.486,,-1.0,,,10973.0,,,69049.0,89897.0,,,Sub-Saharan Africa
159,159.0,Tanzania (United Republic of),0.488,61.5,,5.1,,9.2,,1702.0,,0.484,,1.0,,,,,,,,,,
160,161.0,Mauritania,0.487,61.6,,3.7,,8.2,,2988.0,,0.485,,-2.0,615232.0,,254910.0,,841527.0,,20777342.0,,3404.0,Sub-Saharan Africa
161,162.0,Lesotho,0.486,49.4,,5.9,b,11.1,,2798.0,,0.481,,1.0,,,198985.0,1665076.0,58624.0,54525528.0,,,912189.0,Sub-Saharan Africa
162,163.0,Senegal,0.485,63.5,,4.5,,7.9,,2169.0,,0.484,,-3.0,17304544.0,842116.0,412504.0,3964473.0,7309848.0,48384127.0,3897013.0,3107781.0,29131716.0,Sub-Saharan Africa
163,164.0,Uganda,0.484,59.2,,5.4,,10.8,,1335.0,,0.48,,0.0,45626932.0,9970161.0,3469505.0,22207173.0,9275078.0,313562319.0,79790144.0,5435900.0,28788863.0,Sub-Saharan Africa
164,165.0,Benin,0.476,59.3,,3.2,,11.0,,1726.0,,0.473,,0.0,895605.0,,934791.0,2386014.0,3457808.0,26166714.0,,3881891.0,9047700.0,Sub-Saharan Africa
165,166.0,Sudan,0.473,62.1,,3.1,,7.3,p,3428.0,,0.472,,0.0,,804910.0,,,5968779.0,5361.0,135968378.0,,4768402.0,Sub-Saharan Africa
