,HDI rank,Country,2013 HDI Value,2013 Life Expectancy at Birth (years),2013 Life Expectancy at Birth (years) Note,2012 Mean years of schooling,2012 Mean years of schooling Note,2012 Expected years of schooling,2012 Expected years of schooling Note,2013 Gross national income (GNI) per capita (2011 PPP $),2013 Gross national income (GNI) per capita (2011 PPP $) Note,2012 Human Development Index (HDI) value,2012 Human Development Index (HDI) value Note,2012-2013 Change in rank,Agriculture,Commodity Assistance,Economic Growth,Education,Governance,Health and Population,Humanitarian,Infrastructure,Other,Region
204,,Congo (Kinshasa),,,,,,,,,,,,,2170637.0,25842904.0,492625.0,10116254.0,23823871.0,139528244.0,175501477.0,3226836.0,26521128.0,Sub-Saharan Africa
205,,Cote d'Ivoire,,,,,,,,,,,,,,,,20389.0,12279751.0,90492207.0,8778491.0,,2347493.0,Sub-Saharan Africa
206,,East Asia and Oceania Region,,,,,,,,,,,,,,,,,23641228.0,,,,,East Asia and Oceania
207,,Eastern Africa Region,,,,,,,,,,,,,22168070.0,816603.0,11692621.0,,9053058.0,11952159.0,20992.0,2466083.0,18020218.0,Sub-Saharan Africa
208,,Eastern Asia Region,,,,,,,,,,,,,59964.0,,9090137.0,433992.0,4387920.0,12538897.0,37111695.0,,39378015.0,East Asia and Oceania
209,,Eastern Europe Region,,,,,,,,,,,,,,,2468571.0,,9678599.0,,9860313.0,246312.0,7305913.0,Europe and Eurasia
210,,Eurasia Region,,,,,,,,,,,,,,,3512949.0,480901.0,8450523.0,11521817.0,7718162.0,8768740.0,2752422.0,Europe and Eurasia
211,,Europe Region,,,,,,,,,,,,,,,,,5546196.0,,47777197.0,,7502745.0,Europe and Eurasia
212,,Europe and Eurasia Region,,,,,,,,,,,,,,,5968951.0,,78446.0,,,,,Europe and Eurasia
213,,Korea Republic,,,,,,,,,,,,,,,,,,,266000.0,,,East Asia and Oceania
214,,Kosovo,,,,,,,,,,,,,,,11350560.0,11717347.0,32894971.0,,444863.0,1820607.0,5482087.0,Europe and Eurasia
215,,Laos,,,,,,,,,,,,,,,2615627.0,,1477876.0,12629705.0,557154.0,,316480.0,East Asia and Oceania
216,,Latin America Region,,,,,,,,,,,,,,,481354.0,,489891.0,290870.0,,,6349948.0,Western Hemisphere
217,,Latin America and Caribbean Region,,,,,,,,,,,,,211827.0,,1725691.0,3343863.0,144000904.0,7598052.0,42053425.0,2652633.0,133979772.0,Western Hemisphere
218,,Macedonia,,,,,,,,,,,,,,,4422934.0,1211621.0,9023024.0,,,492625.0,6674559.0,Europe and Eurasia
219,,Micronesia (Federated States),,,,,,,,,,,,,,,3584871.0,62281528.0,6275370.0,41624257.0,328167.0,,44757284.0,East Asia and Oceania
220,,Middle East Region,,,,,,,,,,,,,,,689676.0,,492625.0,1710483.0,,,223777.0,Middle East and North Africa
221,,Middle East and North Africa Region,,,,,,,,,,,,,,,261091.0,,21823438.0,,44136455.0,,13079678.0,Middle East and North Africa
222,,Moldova,,,,,,,,,,,,,5480128.0,,6238109.0,579288.0,26057152.0,527899.0,,507121.0,3022484.0,Europe and Eurasia
223,,North America Region,,,,,,,,,,,,,,,,,,,,,2512392.0,Western Hemisphere
224,,Oceania Region,,,,,,,,,,,,,,,,,738938.0,,,,5200623.0,East Asia and Oceania
225,,Russia,,,,,,,,,,,,,,,,492625.0,2431598.0,144637.0,5127413.0,,13793.0,Europe and Eurasia
226,,Slovak Republic,,,,,,,,,,,,,,,,,187197.0,,,,,Europe and Eurasia
227,,South America Region,,,,,,,,,,,,,,,,,,1325000.0,8344.0,,14604012.0,Western Hemisphere
228,,South East Asia Region,,,,,,,,,,,,,,,,,,,1280827.0,,,South and Central Asia
229,,Southern Africa Region,,,,,,,,,,,,,1649415.0,,12784.0,23954.0,3331832.0,4312347.0,7879230.0,,12270400.0,Sub-Saharan Africa
230,,Southern Asia Region,,,,,,,,,,,,,,,,,829089.0,,12233824.0,,885249.0,South and Central Asia
231,,Sub-Saharan Africa Region,,,,,,,,,,,,,3646108.0,,11771947.0,11442761.0,30941760.0,19132451.0,115125362.0,20205881.0,104143100.0,Sub-Saharan Africa
232,,Sudan (former),,,,,,,,,,,,,38845.0,,,,890758.0,2212186.0,119287977.0,583.0,4417460.0,Sub-Saharan Africa
233,,Syria,,,,,,,,,,,,,,,,,40668783.0,,739083928.0,,3864793.0,Middle East and North Africa
234,,Tanzania,,,,,,,,,,,,,58863721.0,,27827869.0,18559436.0,6250731.0,406265535.0,4921917.0,21429310.0,37255441.0,Sub-Saharan Africa
235,,Venezuela,,,,,,,,,,,,,,,,,3065113.0,,1581284.0,,898236.0,Western Hemisphere
236,,Vietnam,,,,,,,,,,,,,,,7637362.0,1605958.0,5660583.0,32703337.0,492625.0,2235364.0,32712638.0,East Asia and Oceania
237,,West Africa Region,,,,,,,,,,,,,20678758.0,,8991184.0,427557.0,29955229.0,24631457.0,219047238.0,3313835.0,17664644.0,Sub-Saharan Africa
238,,West Bank/Gaza,,,,,,,,,,,,,,,6305611.0,13399422.0,105017698.0,9668105.0,322490684.0,2035709.0,30361042.0,Middle East and North Africa
239,,Western Hemisphere Region,,,,,,,,,,,,,333460.0,,620877.0,,,,,,,Western Hemisphere
240,,World,,,,,,,,,,,,,312196502.0,48733055.0,94637574.0,136149943.0,467582682.0,4150950245.0,511246858.0,7374871.0,3532394916.0,World
