country_code,name,2014 Infrastructure,2014 Governance,2014 Other,2014 Humanitarian,2014 Economic Growth,2014 Agriculture,2014 Education,2014 Health and Population,2014 Commodity Assistance
TLS,Timor-Leste,0,15457312.18,12214028.07,3507494.551,2184950.218,3667280.132,2981390.034,6600829.746,23757461.61
TON,Tonga,0,0,0,929774.2718,0,0,1731654.057,0,0
TTO,Trinidad and Tobago,0,0,49262.5916,0,0,0,0,0,0
TUN,Tunisia,0,35629684.59,2004929.516,0,6261098.382,0,0,53671.2093,0
TUR,Turkey,2399003.144,451066.6932,746426.7879,160341390.6,66538.16471,0,247516.9357,347933.3098,172275.5785
TWN,"China, Republic of (Taiwan)",0,0,0,0,1163.582414,0,2163.593318,528374.7934,0
TZA,Tanzania,95456482.23,13257431.72,65474756.75,9781954.524,47158993.3,83792339.69,32737342.77,803965826.9,14351672.46
UGA,Uganda,11324220.09,18665967.64,55946065.21,95166628.82,6610287.03,78605875.55,34856403.83,672372432.7,17003934.1
UKR,Ukraine,4642676.381,109421144.2,50307478.15,12752434.1,9266747.799,3431983.393,5071819.172,46972222.32,0
URY,Uruguay,0,19764.39806,80261.56998,0,188046.4061,0,47008.33541,0,0
UZB,Uzbekistan,0,5762711.018,2474078.319,0,6139935.333,643975.9771,109362.9533,7145382.729,367006.3074
VEN,Venezuela,0,5583194.706,1561172.406,2098542.066,0,0,0,0,0
VNM,Vietnam,3773216.162,13294770.43,68747041.38,3029379.946,9169211.976,0,3312014.272,83536238.07,0
VUT,Vanuatu,0,6253.619985,184690.1063,1143125.63,0,0,2681190.648,1757285.778,0
WSM,Samoa,0,0,0,0,0,0,1575211.978,0,0
YEM,Yemen,143660.1903,65564126.73,17969118.78,225090079.1,3035532.322,16277460.09,23468269.1,15230472.39,506220.4207
ZAF,South Africa,2035493.426,12265455.93,63542958.66,5380899.144,16592937.25,1424053.007,10094088.66,926512732.3,884933.7761
ZMB,Zambia,36946.9437,7785643.43,78033640.2,4762765.259,3574699.229,28899990.27,26945447.59,848462985.4,0
ZWE,Zimbabwe,0,28734301.62,26547144.91,43805010.53,8155591.325,8189684.615,96093.58167,197666985.1,33302056.54
